date,tmax_C,tmax_F
2024-07-01,23.9,75
2024-07-02,23.35,74
2024-07-03,23.3,73.9
2024-07-04,27.8,82
2024-07-05,31.1,88
2024-07-06,32.2,90
2024-07-07,33.3,91.9
2024-07-08,34.4,93.9
2024-07-09,36.1,97
2024-07-10,35.85,96.5
2024-07-11,30.85,87.5
2024-07-12,27.8,82
2024-07-13,30.6,87.1
2024-07-14,30,86
2024-07-15,27.8,82
2024-07-16,30.6,87.1
2024-07-17,30.6,87.1
2024-07-18,27.8,82
2024-07-19,28.9,84
2024-07-20,30.6,87.1
2024-07-21,30.6,87.1
2024-07-22,24.7,76.5
2024-07-23,24.4,75.9
2024-07-24,24.15,75.5
2024-07-25,23.049999999999997,73.5
2024-07-26,25,77
2024-07-27,25.6,78.1
2024-07-28,25,77
2024-07-29,20.6,69.1
2024-07-30,23.9,75
2024-07-31,25.6,78.1
